Raw_filename1;Raw_filename2;Submission_filename1;Submission_filename2;Folder;SampleName;Sample;Genotype;Construct;Suffix;Name;Genotype_construct
NGS354_2nTALEN-B2_BM1_NA_D1_S11.R1.fastq.gz;NGS354_2nTALEN-B2_BM1_NA_D1_S11.R2.fastq.gz;Col-0_no-TAL2_S11.R1.fastq.gz;Col-0_no-TAL2_S11.R2.fastq.gz;NGS354;Col-0_no-TAL2_S11;2nTALEN-B2_S11;Col-0;no-TAL2;mix;Col-0_no-TAL2_mix;Col-0_no-TAL2
NGS354_2nTALEN-B5_BM1_NA_D1_S12.R1.fastq.gz;NGS354_2nTALEN-B5_BM1_NA_D1_S12.R2.fastq.gz;Col-0_no-TAL2_S12.R1.fastq.gz;Col-0_no-TAL2_S12.R2.fastq.gz;NGS354;Col-0_no-TAL2_S12;2nTALEN-B5_S12;Col-0;no-TAL2;mix;Col-0_no-TAL2_mix;Col-0_no-TAL2
NGS354_2nTALEN-C3_BM1_NA_D1_S10.R1.fastq.gz;NGS354_2nTALEN-C3_BM1_NA_D1_S10.R2.fastq.gz;Col-0_no-TAL2_S10.R1.fastq.gz;Col-0_no-TAL2_S10.R2.fastq.gz;NGS354;Col-0_no-TAL2_S10;2nTALEN-C3_S10;Col-0;no-TAL2;mix;Col-0_no-TAL2_mix;Col-0_no-TAL2
NGS354_C1-1_BM1_NA_D1_S13.R1.fastq.gz;NGS354_C1-1_BM1_NA_D1_S13.R2.fastq.gz;;;NGS354;;C1-1_S13;;;;;_
NGS354_C1-3_BM1_NA_D1_S14.R1.fastq.gz;NGS354_C1-3_BM1_NA_D1_S14.R2.fastq.gz;;;NGS354;;C1-3_S14;;;;;_
NGS354_C1-4_BM1_NA_D1_S15.R1.fastq.gz;NGS354_C1-4_BM1_NA_D1_S15.R2.fastq.gz;;;NGS354;;C1-4_S15;;;;;_
NGS354_C2-12_BM1_NA_D1_S16.R1.fastq.gz;NGS354_C2-12_BM1_NA_D1_S16.R2.fastq.gz;;;NGS354;;C2-12_S16;;;;;_
NGS354_C2-16_BM1_NA_D1_S20.R1.fastq.gz;NGS354_C2-16_BM1_NA_D1_S20.R2.fastq.gz;;;NGS354;;C2-16_S20;;;;;_
NGS354_C2-17_BM1_NA_D1_S17.R1.fastq.gz;NGS354_C2-17_BM1_NA_D1_S17.R2.fastq.gz;;;NGS354;;C2-17_S17;;;;;_
NGS354_C2-18_BM1_NA_D1_S18.R1.fastq.gz;NGS354_C2-18_BM1_NA_D1_S18.R2.fastq.gz;;;NGS354;;C2-18_S18;;;;;_
NGS354_C2-21_BM1_NA_D1_S21.R1.fastq.gz;NGS354_C2-21_BM1_NA_D1_S21.R2.fastq.gz;;;NGS354;;C2-21_S21;;;;;_
NGS354_C2-6_BM1_NA_D1_S19.R1.fastq.gz;NGS354_C2-6_BM1_NA_D1_S19.R2.fastq.gz;;;NGS354;;C2-6_S19;;;;;_
